parameter,initvalue,optvalue,case,rec,param
kint(R2),-2.796858281,-3.618271381,case26,R2,kint
kdeg(R2),-3.175939283,-3.631694516,case26,R2,kdeg
krec4(R2),-3.577525068,-5.546834607,case26,R2,krec4
k4to11(R2),-3.549889518,-5.224193017,case26,R2,k4to11
krec11(R2),-2.778768387,-1.003427041,case26,R2,krec11
kint(N1),-2.178801007,-3.331018037,case26,N1,kint
kdeg(N1),-4.575526727,-5.614572485,case26,N1,kdeg
krec4(N1),-1,-1,case26,N1,krec4
k4to11(N1),-1.477868884,-1.04404781,case26,N1,k4to11
krec11(N1),-2.230054327,-3.126307471,case26,N1,krec11
kint(R1),-1.824111459,-1.882994003,case27,R1,kint
kdeg(R1),-3.452532978,-3.640164518,case27,R1,kdeg
krec4(R1),-2.085218009,-3.150052628,case27,R1,krec4
k4to11(R1),-3.503443951,-3.274987275,case27,R1,k4to11
krec11(R1),-2.089605074,-1,case27,R1,krec11
kint(R2),-2.043610635,-3.643324144,case27,R2,kint
kdeg(R2),-4.039424586,-3.631397041,case27,R2,kdeg
krec4(R2),-3.366905401,-6,case27,R2,krec4
k4to11(R2),-2.286148395,-5.999869731,case27,R2,k4to11
krec11(R2),-1.357862065,-1.064155305,case27,R2,krec11
kint(N1),-2.14548749,-5.183573087,case27,N1,kint
kdeg(N1),-5.433385762,-6,case27,N1,kdeg
krec4(N1),-1.804072686,-2.219906014,case27,N1,krec4
k4to11(N1),-2.473828786,-2.447173666,case27,N1,k4to11
krec11(N1),-1.64380199,-3.878013621,case27,N1,krec11
kint(R1),-1.288437394,-1.750043818,case28,R1,kint
kdeg(R1),-3.611259555,-3.639899091,case28,R1,kdeg
krec4(R1),-2.42387758,-2.852292766,case28,R1,krec4
k4to11(R1),-1.995077051,-3.448830676,case28,R1,k4to11
krec11(R1),-1,-1,case28,R1,krec11
kint(R2),-1.678919635,-3.643247738,case28,R2,kint
kdeg(R2),-3.940247306,-3.631397041,case28,R2,kdeg
krec4(R2),-3.083446044,-6,case28,R2,krec4
k4to11(R2),-3.742393414,-6,case28,R2,k4to11
krec11(R2),-2.907735639,-1.099616483,case28,R2,krec11
kint(N1),-2.285410412,-4.435061847,case28,N1,kint
kdeg(N1),-5.514420523,-6,case28,N1,kdeg
krec4(N1),-2.379947271,-1.907068924,case28,N1,krec4
k4to11(N1),-2.193840384,-2.858769781,case28,N1,k4to11
krec11(N1),-2.314849663,-4.593647203,case28,N1,krec11
kint(R1),-1.899216038,-1.803298888,case29,R1,kint
kdeg(R1),-2.606091527,-3.636200055,case29,R1,kdeg
krec4(R1),-2.757110878,-3.501772177,case29,R1,krec4
k4to11(R1),-3.521015283,-2.923359556,case29,R1,k4to11
krec11(R1),-1.803105653,-1.087129909,case29,R1,krec11
kint(R2),-2.620567567,-3.642541614,case29,R2,kint
kdeg(R2),-3.658426998,-3.630431653,case29,R2,kdeg
krec4(R2),-3.339011268,-5.97786043,case29,R2,krec4
k4to11(R2),-4.099605558,-5.893333238,case29,R2,k4to11
krec11(R2),-1.293538262,-1.522198883,case29,R2,krec11
kint(N1),-3.116418051,-3.514761391,case29,N1,kint
kdeg(N1),-6,-4.444276945,case29,N1,kdeg
krec4(N1),-1.931739906,-1.94573176,case29,N1,krec4
k4to11(N1),-1.847130946,-1.045010182,case29,N1,k4to11
krec11(N1),-1.631657321,-2.90868484,case29,N1,krec11
kint(R1),-1.396574131,-1.85754796,case30,R1,kint
kdeg(R1),-3.620712616,-3.63682065,case30,R1,kdeg
krec4(R1),-1.607443732,-3.659833605,case30,R1,krec4
k4to11(R1),-1.70333481,-2.963211467,case30,R1,k4to11
krec11(R1),-1.430520749,-1.020597325,case30,R1,krec11
kint(R2),-1.49965373,-3.621148054,case30,R2,kint
