parameter,value,case
kprod(R1),0.568084331,case45
kprod(R2),0.043362278,case45
kprod(N1),-0.187340613,case45
kint(R1),-1.583625808,case46
kdeg(R1),-3.636200055,case46
krec4(R1),-2.726188801,case46
k4to11(R1),-3.086795647,case46
krec11(R1),-1,case46
kint(R2),-3.642465345,case46
kdeg(R2),-3.631285541,case46
krec4(R2),-5.99161277,case46
k4to11(R2),-5.986025823,case46
krec11(R2),-1.122127834,case46
kint(N1),-4.624555874,case46
kdeg(N1),-6,case46
krec4(N1),-2.22562904,case46
k4to11(N1),-2.738451662,case46
krec11(N1),-3.868862726,case46
kprod(R1),0.568811655,case46
kprod(R2),0.043951418,case46
kprod(N1),0.017700971,case46
kint(R1),-1.894251444,case47
kdeg(R1),-3.638574387,case47
